loc_id,osm_lat,osm_lon,osm_yaw,wayidx,neighbor,pano_id,gsv_lat,gsv_lon,gsv_yaw
1,55.95904649999999946886,-3.22699820000000014986,3.227389844096516e+02,1,,ARV67DeQHIy8PWuXjEP8rQ,55.95904999999999773763,-3.22697799999999990206,1.424200000000000e+02
2,55.95913105005342202958,-3.22711309974901094932,3.227388892115702e+02,1,,sq_eWRPMECwciZ1K4z5OWg,55.95912599999999770262,-3.22706900000000018736,1.420400000000000e+02
3,55.95921560000000027912,-3.22722800000000020759,3.232853940520696e+02,1,,amHh29YqkQ_T8b3zqa5f4g,55.95924300000000073396,-3.22721800000000014208,1.416600000000000e+02
4,55.95929096016322290552,-3.22732839921808478678,3.232853108477519e+02,1,,XGoUDTaInr8q5ubjG0ifFw,55.95934499999999900410,-3.22734800000000010556,1.418400000000000e+02
5,55.95944168024482223700,-3.22752919882712330235,3.232851444608303e+02,1,,YmatmG3FExh8GS2-zF_UqQ,55.95949199999999734700,-3.22753399999999990300,1.424400000000000e+02
6,55.95951704016320604751,-3.22762959921808079145,3.232850612687382e+02,1,,2nwgJLkgm_s_j1e1bKaQPg,55.95956499999999778083,-3.22762700000000002376,1.422099900000000e+02
7,55.95959239999999823567,-3.22773000000000021004,3.208229803245909e+02,1,,xPhkroZGdXwHnCkQqgNcEA,55.95963600000000326418,-3.22772099999999984021,1.424100000000000e+02
8,55.95965120000000325717,-3.22781560000000000699,3.232836958015370e+02,1,,Ux83XuNRY9VMqWV590bh-w,55.95966399999999651982,-3.22776199999999979795,1.426600000000000e+02
9,55.95972002510212206516,-3.22790729951082067117,3.232836198086719e+02,1,,hpCwY6894tEUCw6GQkkQgg,55.95973399999999742249,-3.22786300000000014876,1.423600000000000e+02
10,55.95978885013615666821,-3.22799899934776002297,3.232835438258206e+02,1,,dJP5bxHvFaTsrmHcFnMHvA,55.95980300000000084992,-3.22796500000000019526,1.426500000000000e+02
11,55.95807090000000272312,-3.22565610000000013713,1.438261318163020e+02,2,,9Vm72298HZE5Z2SjNq5uOA,55.95806100000000071759,-3.22563500000000002998,1.443799900000000e+02
12,55.95800753338878763543,-3.22557333306234461645,1.438262003894165e+02,2,,J1NBPp5F87JfdRfNR7sylA,55.95798800000000028376,-3.22554199999999990922,1.437000000000000e+02
13,55.95794416672213600350,-3.22549056639567766069,1.438262689835022e+02,2,,YlEIEeL3zLjJ60GerITwOA,55.95791899999999685633,-3.22545299999999990348,1.432000000000000e+02
14,55.95788079999999808933,-3.22540780000000015804,1.433442680300941e+02,2,,VBXl9_hCe2ciRxJI-hZzDg,55.95787500000000136424,-3.22539700000000006952,1.430900000000000e+02
15,55.95781605008998127460,-3.22532172456804611116,1.433443393620416e+02,2,,qyqB0f970scXMCQjh2vPVQ,55.95780200000000093041,-3.22530399999999994876,1.432200000000000e+02
16,55.95775130011996623125,-3.22523564942406215650,1.433444106817770e+02,2,,pZs_xp4h1EEfi7pqg8AmiQ,55.95772800000000302134,-3.22521000000000013230,1.435300000000000e+02
17,55.95768655008997427558,-3.22514957456804784997,1.433444820049687e+02,2,,4UxfoUB7GaUrYRLXMuolzQ,55.95765200000000305636,-3.22511100000000006105,1.438000000000000e+02
18,55.95754380000000338669,-3.22495779999999987453,1.429214142799222e+02,2,,0C4TF0aAlAjDWFdNx-R74Q,55.95750900000000171985,-3.22491800000000017334,1.434800000000000e+02
19,55.95746350000000290947,-3.22484940000000008808,1.439575110557429e+02,2,,H5aGADVDcjql2VbG5d65Xg,55.95743699999999876127,-3.22482099999999993756,1.431700000000000e+02
20,55.95739313340106235728,-3.22475793300078716896,1.439575868523776e+02,2,,1TffI226egnHYNd7mWUANw,55.95736500000000290811,-3.22472400000000014586,1.433000000000000e+02
21,55.95732276673438576609,-3.22466646633412290512,1.439576626299841e+02,2,,bnBsMOfrwcw_KzB374quFw,55.95730700000000013006,-3.22464599999999990132,1.440200000000000e+02
22,55.95725240000000155760,-3.22457500000000019114,1.450960778054385e+02,2,,ty5Lr84_Z-oxOQ0ddLRD_Q,55.95722800000000063392,-3.22454200000000001936,1.447900000000000e+02
23,55.95718663338772813631,-3.22449303305480849957,1.450961457286516e+02,2,,mYIFDpooLMusbt0rn8GuHQ,55.95715500000000020009,-3.22444700000000006312,1.462800000000000e+02
24,55.95705509999999804904,-3.22432909999999983697,1.461841912667702e+02,2,,xz9Mz4AK-xneNqBeskNH2Q,55.95707800000000275986,-3.22434999999999982734,1.463600000000000e+02
25,55.95698776671921592651,-3.22424853305304681683,1.461842580236323e+02,2,,e0wHOSFxvQbPpzoGLQcqaw,55.95700200000000279488,-3.22426000000000012591,1.453799900000000e+02
26,55.95692043338588206325,-3.22416796638638070149,1.461843247851675e+02,2,,e_-6gASL7ltNF7cKCbyaUw,55.95692700000000030514,-3.22416999999999998039,1.450300000000000e+02
27,55.95685309999999645925,-3.22408740000000015868,1.464749476733139e+02,2,,5ZlH4QkkeofagAy_1ERaLg,55.95684599999999875308,-3.22407300000000018869,1.452399900000000e+02
28,55.95678050753124210814,-3.22400149076280007066,1.464750188684092e+02,2,,pSAABViXaCk9ZOKquYuSCw,55.95681400000000138562,-3.22403500000000020620,1.455999900000000e+02
29,55.95670791500271690211,-3.22391558184781334973,1.464750900493971e+02,2,,ea41s9KU_fJ9pdFQtAk60g,55.95673899999999889587,-3.22394299999999978112,1.460100000000000e+02
30,55.95663532241445636828,-3.22382967325503866363,1.464751612338589e+02,2,,oh4qFReH_0kG-BbW3qjnZg,55.95666400000000351156,-3.22385099999999980014,1.460900000000000e+02
31,55.95656272976643919037,-3.22374376498447423600,1.464752324228283e+02,2,,cv0nWFLIPAFYToRgXPso9Q,55.95655299999999954252,-3.22372099999999983666,3.271000000000000e+02
32,55.95649013705866536839,-3.22365785703611873458,1.464753035996357e+02,2,,3wZ36iiLstHPSJ2eZ_YiJQ,55.95651300000000105683,-3.22367500000000006821,1.459800000000000e+02
33,55.95641754429114911318,-3.22357194940996905075,1.464753747837506e+02,2,,3lUokTcrczuJpCEqqOdtXg,55.95643799999999856709,-3.22359000000000017749,1.460800000000000e+02
