loc_id,osm_lat,osm_lon,osm_yaw,wayidx,neighbor,pano_id,gsv_lat,gsv_lon,gsv_yaw
1,51.89590909999999723823,-0.40142179999999999529,2.545374429414853e+01,1,,4v3rWKrqF_UvAzSdGPFIfw,51.89587800000000328282,-0.40139500000000000179,1.598000000000000e+01
2,51.89597119999999819129,-0.40137390000000000567,4.841027950092085e+01,1,,6AOH6RTXKcJkJXJFYRGd3Q,51.89596199999999726060,-0.40133099999999999330,4.148000000000000e+01
3,51.89603619999999750689,-0.40118229999999999169,9.110705888310837e+01,1,,MEk2z6IW59z5fYYTilScHw,51.89601100000000144519,-0.40116699999999999582,8.690999600000001e+01
4,51.89603550000000353748,-0.40112360000000002458,1.084853669061758e+02,1,,r6vXE7nL_txUpTFlkRwQQA,51.89603300000000274395,-0.40112199999999997857,5.996000000000000e+01
5,51.89601520000000078880,-0.40102520000000002609,1.329858944308912e+02,1,,0yZlsKXByNTkFrTyyo-WhQ,51.89597700000000202181,-0.40099299999999998834,1.346700000000000e+02
6,51.89591140000000279997,-0.40089659999999999185,1.768892513473926e+02,1,,tNkswd9hbY6ZXWGcB0nl9w,51.89590299999999700731,-0.40088600000000002010,2.087399900000000e+02
7,51.89587619999999645870,-0.40089350000000001373,1.768421611088821e+02,1,,3AhPHQfqXTsJv0YutXaLtg,51.89588299999999776446,-0.40090399999999998260,1.835000000000000e+02
8,51.89584599999999880993,-0.40089079999999999160,1.958976103921858e+02,1,,5Z_CKzsuuVl9If0GPPBz3w,51.89584399999999675401,-0.40091199999999999060,2.108100000000000e+02
9,51.89580310000000196169,-0.40091060000000000585,2.145991452552590e+02,1,,EmQybRdwJ-AfUrCJyLFpEA,51.89580699999999779948,-0.40093200000000001060,2.161200000000000e+02
10,51.89575049999999833972,-0.40096939999999997584,2.342993173414467e+02,1,,WeCgCzMpL-nF3h9fvMfUEg,51.89577200000000090085,-0.40096599999999998909,2.219000000000000e+02
11,51.89572110000000293439,-0.40103569999999999496,2.534598490092486e+02,1,,eSkOxz4ol7ZX6o6z5cUG3g,51.89573000000000035925,-0.40103199999999999958,2.267200000000000e+02
12,51.89570379999999971687,-0.40113009999999998945,2.737087403719475e+02,1,,JujPsEE4nQTQZGCP0bwsHA,51.89570599999999700458,-0.40110800000000002008,2.278799900000000e+02
13,51.89570630000000051041,-0.40119260000000001032,2.734933601758577e+02,1,,EwsYcwqzg_QB9T-ShituiQ,51.89570400000000205409,-0.40118399999999998506,2.272399900000000e+02
14,51.89570739999999915426,-0.40122180000000001732,2.962637312128604e+02,1,,1UBmq4l0h9fAy6Fv3E47Qw,51.89571600000000017872,-0.40125100000000002431,2.883300000000000e+02
15,51.89575949999999693318,-0.40139289999999999692,3.404464082093510e+02,1,,rGr9t6vH7ww4Zzn5ImhK4Q,51.89577799999999996317,-0.40136100000000002330,3.303400000000000e+02
16,51.89580449999999700594,-0.40141880000000002005,3.535170891031120e+02,1,,wZsQjSCpHjjPIKY0FuBBfA,51.89578999999999808779,-0.40137099999999997779,1.362000000000000e+01
17,51.89580310000000196169,-0.40091060000000000585,1.556568364780349e+02,2,,EmQybRdwJ-AfUrCJyLFpEA,51.89580699999999779948,-0.40093200000000001060,2.161200000000000e+02
18,51.89571853336592255346,-0.40084859976662251535,1.556568852677835e+02,2,,-Czw5v9FMUVf1ghlcRLPNw,51.89568299999999823058,-0.40085599999999999010,1.677300000000000e+02
19,51.89563396669925054994,-0.40078659976662328601,1.556569340570231e+02,2,,9mfRi2kuW3mIWzGxSaFP3A,51.89558300000000201635,-0.40075899999999997636,1.580699900000000e+02
20,51.89554940000000016198,-0.40072459999999998637,1.556569340570231e+02,2,,9mfRi2kuW3mIWzGxSaFP3A,51.89558300000000201635,-0.40075899999999997636,1.580699900000000e+02
21,51.89603550000000353748,-0.40112360000000002458,5.550003002185881e+01,3,,r6vXE7nL_txUpTFlkRwQQA,51.89603300000000274395,-0.40112199999999997857,5.996000000000000e+01
22,51.89610480000000336531,-0.40096019999999998884,3.336275935900609e+01,3,,9sUlTb0rKH5xkGX-T9iavg,51.89608400000000187902,-0.40099000000000001309,4.677000000000000e+01
23,51.89617462009408654922,-0.40088570046306565287,3.336281798675558e+01,3,,kb7mkE7lj_fPrJ9ficqhbg,51.89614499999999708280,-0.40086800000000000210,3.755000000000000e+01
24,51.89624444014111759316,-0.40081120069459946764,3.336287660263739e+01,3,,Lfrd7B8C3HcrsFpfVkOQEg,51.89623000000000274667,-0.40077600000000002112,3.638000000000000e+01
25,51.89631426014112491885,-0.40073670069460037846,3.336293523182670e+01,3,,jBG-pwANmKAvztJateBjMw,51.89631399999999672445,-0.40069599999999999662,3.655000000000000e+01
26,51.89638408009408010457,-0.40066220046306716407,3.336299385593748e+01,3,,4z1TuGox6yfOGl1p_Ue5SA,51.89635700000000184673,-0.40066099999999998937,2.755000000000000e+01
27,51.89645389999999736119,-0.40058769999999999101,4.079004500282434e+01,3,,K2zCZSAFF3bSiEDeWXgktw,51.89644899999999694273,-0.40060299999999998688,2.313000000000000e+01
28,51.89651323339166566484,-0.40050473355245336249,4.079011028311108e+01,3,,cW1yEH9J4vm5MQgGkLWMLw,51.89653299999999802594,-0.40055099999999999039,2.135000000000000e+01
29,51.89657256672500551531,-0.40042176688578606791,4.079017557621655e+01,3,,Za2s88eaNmsqJXfhFguapQ,51.89655599999999679994,-0.40038600000000001966,4.487999700000000e+01
30,51.89663190000000270174,-0.40033879999999999466,5.356922436448398e+01,3,,0mEE_3GS2yq3sdig975n5A,51.89662299999999817146,-0.40027600000000002067,1.358400000000000e+02
31,51.89669223348204951662,-0.40020633368908697935,5.356932860921618e+01,3,,8cJVpEDVScF7YcZOiHEtSw,51.89665399999999806369,-0.40020400000000000418,5.336000000000000e+01
32,51.89675256681536552605,-0.40007386702242153653,5.356943283579996e+01,3,,rqYRJoI88lksFRmuoyOcrA,51.89671599999999784814,-0.40006099999999999994,5.764999800000000e+01
33,51.89681290000000046803,-0.39994140000000000246,5.526874215592997e+01,3,,uO8HL6DMlqwugo08LM72cg,51.89680500000000051841,-0.39997100000000002096,1.287000000000000e+02
34,51.89686325005869349525,-0.39982370013189466595,5.526883476364033e+01,3,,3x6_MgaRW57V2G7L0tQXqg,51.89686199999999871579,-0.39972400000000002374,5.261000000000000e+01
35,51.89696715003579186032,-0.39961410010952808092,4.664133084335764e+01,3,,d0IbFztXHqF09ukdWqaSdQ,51.89692600000000055616,-0.39962100000000000399,4.727000000000000e+01
36,51.89702069999999878291,-0.39952219999999999400,3.717615502514574e+01,3,,J6O_jWJqiaes9pJssusY0A,51.89699399999999940292,-0.39951500000000000901,4.311000000000000e+01
