loc_id,osm_lat,osm_lon,osm_yaw,wayidx,neighbor,pano_id,gsv_lat,gsv_lon,gsv_yaw
1,43.65156410000000164473,-79.36271290000000533382,1.627482498373637e+02,1,,1MhDyZaAH2FMcQSeziO78g,43.65156300000000300088,-79.36271899999999845932,1.617800000000000e+02
2,43.65149490000000298551,-79.36268320000000642267,1.628220534298128e+02,1,,san18xIdplp1xRKzij_2YQ,43.65149900000000116052,-79.36269099999999809825,1.629500000000000e+02
3,43.65138770000000079108,-79.36263739999999700103,1.629698243877193e+02,1,,Jm4Ia0TfQ0V8807NmOOfdw,43.65139200000000130331,-79.36264500000000055024,1.627500000000000e+02
4,43.65130177501730202039,-79.36260102484388312405,1.629698494845960e+02,1,,1CvJgvxeYpfJ5h6X4kqtAQ,43.65130599999999816418,-79.36260699999999701504,3.420700000000000e+02
5,43.65121585002307114109,-79.36256464979183533615,1.629698746028959e+02,1,,aQhLTvvUsE-23VrfBE2D5w,43.65121100000000353702,-79.36256600000000105410,3.420399800000000e+02
6,43.65112992501730815320,-79.36252827484388205903,1.629698997018830e+02,1,,IQeX8qht5N8W6Cn6dVa_Jg,43.65113099999999946021,-79.36253000000000668024,1.624300000000000e+02
7,43.65104399999999884585,-79.36249189999999487100,1.629667371187095e+02,1,,cWNeGWuzVWvCKY_79Sjj6Q,43.65104099999999931470,-79.36249100000000566979,1.637699900000000e+02
8,43.65095537501840539107,-79.36245437483387377142,1.629667630244683e+02,1,,6eQRq_KXAhXduBbcYjKEhA,43.65095199999999664442,-79.36245499999999708507,1.642099900000000e+02
9,43.65086675002455507411,-79.36241684977851207350,1.629667889258558e+02,1,,noHWd9Yy2zA5LNC84Vf3FA,43.65085899999999696774,-79.36241699999999354986,1.634300000000000e+02
10,43.65077812501840526238,-79.36237932483388135552,1.629668148265239e+02,1,,jAJSkdaA2fUK2zg6Bh9AGA,43.65077200000000345881,-79.36238099999999917600,1.622300000000000e+02
11,43.65068949999999858846,-79.36234179999999582833,1.629582347373722e+02,1,,JsZkpRg5V6qdvSv-PTG5VA,43.65068399999999826377,-79.36234199999999816555,3.424900000000000e+02
12,43.65059472502107951186,-79.36230164980993606605,1.629582624415260e+02,1,,L0PHEiTENNPr3QFM0RDBGw,43.65057699999999840657,-79.36229600000000061755,3.427500000000000e+02
13,43.65049995002809879452,-79.36226149974656607355,1.629582901606023e+02,1,,LnSiBZgKRjfbwXWThoV-ng,43.65052500000000179625,-79.36227300000000184355,3.432400000000000e+02
14,43.65040517502107775272,-79.36222134980992848341,1.629583178742529e+02,1,,TGCsREd3ojjIo4NCeoD-cw,43.65042900000000258842,-79.36223099999999419651,3.420700000000000e+02
15,43.65031040000000217560,-79.36218119999999487391,1.629583178742529e+02,1,,SchYoT0zRmdgjuZ4Ckosmw,43.65030000000000143245,-79.36217499999999347438,3.416500000000000e+02
16,43.65678650000000260434,-79.35205779999999720076,7.496841072794255e+01,2,,BOPZIezjFgWUmOjpTeLLaQ,43.65675900000000098089,-79.35211300000000278487,7.288000000000000e+01
17,43.65680780010477946007,-79.35194816674443529791,7.496848640842086e+01,2,,wpk_RUWkQHV2tFq0QWphFA,43.65679000000000087311,-79.35198300000000415366,7.384999999999999e+01
18,43.65682910010477968399,-79.35183853341111159807,7.496856209058036e+01,2,,oaCFFTWjjnf047pO6g9_oA,43.65682100000000076534,-79.35185300000000552245,7.481000000000000e+01
19,43.65685040000000327609,-79.35172889999999767952,7.786057014980406e+01,2,,Pdt1lkj7xUW9t8yiVlL0nw,43.65684000000000253294,-79.35175499999999715328,7.586999500000000e+01
20,43.65686895018579605221,-79.35160970011047254502,7.786065244253918e+01,2,,l9hSi46cY2RxFwQJvfYxXA,43.65686300000000130694,-79.35163599999999917145,7.725000000000000e+01
21,43.65688750024772701863,-79.35149050014729255054,7.786073473026403e+01,2,,YhPNqRfbZ_17CB29jirGww,43.65689700000000073032,-79.35144800000000486762,7.939000000000000e+01
22,43.65690605018579617536,-79.35137130011047190692,7.786081701975941e+01,2,,RUsiKSUQc-xDAkNWnItMgw,43.65691400000000044201,-79.35131699999999455031,8.081000000000000e+01
23,43.65693615019782924946,-79.35112910007097752896,8.260474341307494e+01,2,,uBR_-_kU7Ro_hMB51nr1vw,43.65692399999999651072,-79.35117700000000695582,8.290000000000001e+01
24,43.65694770026376403393,-79.35100610009463650840,8.260482832058995e+01,2,,I6xrD-lk-DbElulMxRzM8A,43.65693199999999762895,-79.35097500000000536602,8.425000000000000e+01
25,43.65695925019782208665,-79.35088310007098755250,8.260491323517313e+01,2,,eRlP09FjQpfJFKKo8ifpkw,43.65694500000000033424,-79.35084000000000514774,8.570999999999999e+01
26,43.65697080000000340760,-79.35076010000000223954,9.104618618712625e+01,2,,SYNxacELV_0YAYPCPk3Xxw,43.65695800000000303953,-79.35071499999999389274,8.720000000000000e+01
27,43.65696913347203178546,-79.35063396665967161425,9.104627327175710e+01,2,,De4oS9OeFKeAAJykETWxnQ,43.65696200000000004593,-79.35060300000000665932,8.922000000000000e+01
28,43.65696746680536222129,-79.35050783332633272948,9.104636034440789e+01,2,,slumsSFyS6AlmwHHWupVyg,43.65695999999999799002,-79.35052899999999453939,9.040000000000001e+01
29,43.65696580000000182054,-79.35038169999999979609,9.925814874945991e+01,2,,mOlpMvNK9dYkE2kYwEkPNw,43.65695399999999892771,-79.35038600000000030832,9.317000000000000e+01
30,43.65695370004588937718,-79.35027909997931772068,9.925821957900017e+01,2,,NY7oVs-HeCZ8tHF28_RUpA,43.65694200000000080308,-79.35025899999999410284,9.664000000000000e+01
31,43.65694160000000323407,-79.35017650000000344335,1.050352202452815e+02,2,,XJXVUi6xyWsSkzz1OCRLBw,43.65692899999999809779,-79.35014599999999518332,1.003500000000000e+02
32,43.65691666681016158691,-79.35004819989345037357,1.050353088117932e+02,2,,1TRzIV-8zppJf953PptiRw,43.65691000000000343562,-79.35003000000000383807,1.038500000000000e+02
33,43.65568549999999703459,-79.35100629999999455322,7.153801903258461e+01,3,,Sx_S4hkJ9uuh1pSjEf2R4Q,43.65570900000000165164,-79.35089399999999670854,2.237000000000000e+02
34,43.65574404349723636187,-79.35076392916214160778,7.153818635355623e+01,3,,KclYWyYnlmCnja3vLQbA9w,43.65573100000000295040,-79.35079899999999497595,2.523300000000000e+02
