loc_id,osm_lat,osm_lon,osm_yaw,wayidx,neighbor,pano_id,gsv_lat,gsv_lon,gsv_yaw
1,38.95335839999999905103,-77.01165020000000538403,8.735091756812342e+01,1,,Yj742IPPvSgQxuZ5KpMKPw,38.95337500000000119371,-77.01164199999999482316,2.082999900000000e+02
2,38.95336288026461346590,-77.01152568003149667675,8.735099585554437e+01,1,,yQW8kbqiDnLOcWyYIxabmA,38.95337899999999820011,-77.01153800000000160253,1.174900000000000e+02
3,38.95336736039691771794,-77.01140116004724234244,8.735107413894416e+01,1,,ulx0gL8a7TiWHPIZoll06A,38.95338300000000231194,-77.01143299999999669581,8.633000000000000e+01
4,38.95337184039691180715,-77.01127664004724238112,8.735115242074119e+01,1,,6cX0g_LEEJu4I2I4EuQiuw,38.95338600000000184309,-77.01131900000000030104,8.604999500000000e+01
5,38.95337632026460283896,-77.01115212003149679276,8.735123070227286e+01,1,,f2KR15ptqf9E47ZQpBk__A,38.95338900000000137425,-77.01120500000000390628,8.722000000000000e+01
6,38.95338079999999791880,-77.01102760000000557739,8.737659405816838e+01,1,,rerfMluz0ogrAK8B3hLZfw,38.95339500000000043656,-77.01098100000000101772,6.693999500000000e+01
7,38.95338689999999814972,-77.01085639999999443717,8.735259241124137e+01,1,,HzrxC9Jt_qETfFKZShYoiQ,38.95339799999999996771,-77.01085999999999387455,8.804000000000001e+01
8,38.95339126056469325476,-77.01073513006714676976,8.735266864435758e+01,1,,-u1y7LYxarIS8w2MODCiHA,38.95340300000000155478,-77.01068200000000274486,8.756999999999999e+01
9,38.95339562100392072352,-77.01061386011937770490,8.735274489262682e+01,1,,2FGDl0umH3BMF2R0BfJv_A,38.95340699999999856118,-77.01056400000000223827,8.781000000000000e+01
10,38.95339998131764502887,-77.01049259015667303174,8.735282113098226e+01,1,,ZLL5e4UZUt6-7_qwcYOG_Q,38.95341100000000267300,-77.01042999999999949523,8.800999500000000e+01
11,38.95340434150588038165,-77.01037132017906117198,8.735289738146629e+01,1,,cqTJC-jFtsyDWLI7Mqjnpg,38.95341400000000220416,-77.01032600000000627460,8.836999500000000e+01
12,38.95340870156861967644,-77.01025005018651370392,8.735297361211813e+01,1,,xh-YFfg2UpLzK71E8jyW-A,38.95341700000000173532,-77.01019900000000006912,8.759999999999999e+01
13,38.95341306150587712409,-77.01012878017904483841,8.735304985269299e+01,1,,EppdFOTLE7BIn5ASKbhmhw,38.95342000000000126647,-77.01008899999999357533,8.767000000000000e+01
14,38.95341742131764561918,-77.01000751015666878629,8.735312609685162e+01,1,,IMyvi7YdGOFSA8bQv17CdA,38.95342300000000079763,-77.00997300000000223008,8.793000000000001e+01
15,38.95342178100391805629,-77.00988624011937133673,8.735320233578480e+01,1,,-VDEENJh_3dyS1-EW3mnfQ,38.95342600000000032878,-77.00986899999999479860,8.828000000000000e+01
16,38.95342614056471575168,-77.00976497006713827886,8.735327858573734e+01,1,,GGtTwFwyXOXod6G7yetSZA,38.95342899999999985994,-77.00975400000000092859,8.518999500000000e+01
17,38.95343050000000317823,-77.00964369999999803440,8.734700071256978e+01,1,,qAmYY8pzldT1oWjd19EI1A,38.95343199999999939109,-77.00965499999999508418,5.271000000000000e+01
18,38.95343480024306614951,-77.00952436002896206446,8.734707575114571e+01,1,,CU3HRZ8wWSx26EFaq3ItXQ,38.95343600000000350292,-77.00949099999999702959,9.090999600000001e+01
19,38.95343910036457657498,-77.00940502004344523357,8.734715076621352e+01,1,,zgVsOM2CciVBpOxoOXAYfg,38.95343900000000303407,-77.00937399999999399824,9.434999999999999e+01
20,38.95344340036458419263,-77.00928568004344754172,8.734722580704020e+01,1,,ixON_GauUlW7ysW314JTaQ,38.95344200000000256523,-77.00925100000000611544,9.300000000000000e+01
21,38.95344770024304636991,-77.00916634002895477806,8.734730082211698e+01,1,,nNkgUG7ej89Z2P4y_m4WJw,38.95344500000000209639,-77.00915899999999680858,9.061000000000000e+01
22,38.95345199999999863394,-77.00904699999999536431,8.734730082211698e+01,1,,7h7tG4EU7ECKkPb6Dz9mPw,38.95344599999999957163,-77.00905699999999853844,3.594400000000000e+02
23,38.95854299999999881265,-77.02146899999999618558,8.905526338040285e+01,2,,casdhY6YLHVmot7ZhqWF0A,38.95854299999999881265,-77.02147200000000282216,8.748999999999999e+01
24,38.95854440020352171814,-77.02135980000862502948,8.905533205066384e+01,2,,IUZPknd5NwCNMyQqsyPyVA,38.95854599999999834381,-77.02130699999999308147,8.747999600000000e+01
25,38.95854720030526863184,-77.02114140001293662863,8.905546935900747e+01,2,,EO3IowHKIzJ2ZQHCsj1ECA,38.95854800000000039972,-77.02118000000000108685,8.814000000000000e+01
26,38.95854860020352106176,-77.02103220000863359473,8.905553802723706e+01,2,,vGOFI3eEIcdwBpK9EZOjEg,38.95855099999999993088,-77.02105199999999740612,8.929000000000001e+01
27,38.95855000000000245564,-77.02092299999999625015,8.905553802723706e+01,2,,hWS-lluGsJ7GHelyuLtRQQ,38.95855999999999852434,-77.02088999999999430202,8.639000000000000e+01
