pano_id,yaw,lat,lon,city,global_index,local_index
ljBFHUcoonDeE2omJ7PrOQ,145,40.434597,-80.011615,pittsburgh,8111,1
6WllG5dLry7Af-xcFnT_Bg,145,40.434558,-80.011577,pittsburgh,17624,2
zprWuXKHKLJYfXyLab-hKA,144,40.434675,-80.011693,pittsburgh,26033,3
Q2tzYKOb0f69PW56WJQT5w,145,40.434443,-80.011468,pittsburgh,15717,4
9YJsooF4rGJXld9rnYCrGg,143,40.434753,-80.011773,pittsburgh,6346,5
4-VsgnVBbDRHyQ9qfcnSCg,144,40.434409,-80.011434,pittsburgh,38005,6
hv4-SNCmnCNBUIubtSckUQ,141,40.434829,-80.011855,pittsburgh,39831,7
A30WAWsTla_klMPJQluedQ,139,40.434325,-80.011338,pittsburgh,14998,8
UXAVUHK8vXuMUT-mqFG19g,141,40.434867,-80.011896,pittsburgh,27500,9
eE_ao7SMByJTGvvNeOoMPA,348,40.434877,-80.011889,pittsburgh,42595,10
F8ZDDcssbmfh5cyB5kBB_g,138,40.434307,-80.011315,pittsburgh,55860,11
HmCbAr1wmuMsI4dRuaqoyw,139,40.434975,-80.012021,pittsburgh,32735,12
JnDap_cLsi5iwE1BVqsBkQ,31,40.434771,-80.011913,pittsburgh,9727,13
z5g22uOlchUSqcsfWNMgBA,138,40.434277,-80.011279,pittsburgh,40602,14
h-3Vi7MXzJdIv3Me8XdlSA,138,40.435012,-80.012066,pittsburgh,54256,15
bTw6GgLIX0MEgX-JAHisJA,17,40.434677,-80.011968,pittsburgh,56943,16
BzTh2g8hcaDrHp-wFKDsuQ,344,40.434247,-80.01123,pittsburgh,29510,17
R6W8OLxDtLKyvD06ku43Zw,136,40.434217,-80.0112,pittsburgh,53454,18
7MPj0LtPzFFTgeD_ZtIzPg,134,40.435082,-80.012159,pittsburgh,3319,19
bzx4qZWDYf00qMTltQ1ShA,14,40.434589,-80.011998,pittsburgh,24959,20
1zBl4UDzeMuzVTCPO_kr8A,22,40.434119,-80.011236,pittsburgh,37920,21
ZyF80q255i4i0iX9NnqNKQ,134,40.434134,-80.011086,pittsburgh,48130,22
rE7TErDvpxPfCp-b-9-KfA,126,40.435166,-80.012294,pittsburgh,25630,23
PHLE8TUkQxyYQoLE25tR6g,12,40.434498,-80.012024,pittsburgh,56304,24
MFGhAegQJvP_cZ1nHeSOQA,17,40.434029,-80.011278,pittsburgh,41693,25
TKFaP0MZUrEEZD5OaZ9M7A,134,40.434092,-80.011026,pittsburgh,36185,26
2VRtsgpB9nxafxmvXPCfDg,123,40.43519,-80.012341,pittsburgh,20328,27
vqyXNMIfN1t11YE8zjF9nQ,15,40.434405,-80.012052,pittsburgh,37559,28
xgn3W564Oa2budeAPpTIgA,16,40.433956,-80.011307,pittsburgh,25924,29
CCvxnHKA2Df6DB2BQ5nLJQ,133,40.434053,-80.010969,pittsburgh,20788,30
ILMwyfppG1a5NvEhS96-sA,117,40.435231,-80.012439,pittsburgh,21059,31
e9g_CejH6gSLNp9CrmtAMQ,14,40.434317,-80.012083,pittsburgh,42590,32
CmsHCrnW5T4eVlGx2W97Og,16,40.433877,-80.011337,pittsburgh,38412,33
nNYYWFdTf5rYZIc6Tvsa0A,133,40.434017,-80.010916,pittsburgh,5291,34
pK12nElKw0K3fHcfTZ8t7g,113,40.435266,-80.012541,pittsburgh,43116,35
4IS8ZdGPtRb1o6K1RjZhag,13,40.434229,-80.012112,pittsburgh,6096,36
WG6yfsGF2xOr-_6Kg5_xbg,16,40.433792,-80.01137,pittsburgh,33413,37
OJJA8KPeyISjD5wOZeIZYA,133,40.433944,-80.010807,pittsburgh,27228,38
EuU5jdrwnCP0usJOS1jpiw,109,40.435295,-80.012646,pittsburgh,3636,39
OR4D_yBbvQOMbSpOfzrtsg,12,40.434144,-80.012138,pittsburgh,15655,40
3dm80FtKiU8tvH_Fw0CXNw,16,40.433702,-80.011406,pittsburgh,52369,41
CKJ8xSYZ_PKHBGoO87MuJQ,133,40.433878,-80.010709,pittsburgh,41247,42
L51DODecRudbdHS7Oy8-BQ,105,40.435319,-80.012758,pittsburgh,27083,43
SlvIKDAlqxCdM2zLbZkyfQ,12,40.434059,-80.012162,pittsburgh,18620,44
j18UwM2MuJEvxsXJGZcDjg,17,40.433607,-80.011443,pittsburgh,42825,45
9HgvS22UMER26dHz-MxNLw,133,40.433814,-80.010614,pittsburgh,3394,46
FBnOzDEdDLH8UDLIxbrlvA,102,40.435339,-80.012879,pittsburgh,20935,47
u3rsw7LXJyRWdYnPWG0_Ag,12,40.433975,-80.012186,pittsburgh,8497,48
VQfBwj5eveZnmFf2-HirWA,12,40.433505,-80.011482,pittsburgh,18728,49
JQY-dkJEGx7Z36pOOkKM6g,133,40.433749,-80.010521,pittsburgh,50243,50
7CN5bH-z4yRHSXpD-yLEMA,101,40.435348,-80.012941,pittsburgh,29300,51
tCN6hUUNR7hh2tTZSPbiQQ,12,40.433888,-80.01221,pittsburgh,22777,52
pg_XJvzw0I_xT75t4uQ39A,3,40.433447,-80.011494,pittsburgh,22634,53
ui06jmovPa9-yU0PEI-MfA,133,40.433685,-80.010426,pittsburgh,49090,54
3O59P1OnFLzuvaV0KWKjzg,100,40.435363,-80.013068,pittsburgh,34981,55
1wRiGNO2Pc6duoUazuyhPg,193,40.435431,-80.012814,pittsburgh,40787,56
t0OPMgRh_2mIdDy3zq3tKg,143,40.435314,-80.013026,pittsburgh,57704,57
JsV93lCfPDsP4pkDUpgQeg,12,40.433797,-80.012234,pittsburgh,949,58
04YJXUam_KD0d8tv4M3A0Q,337,40.433383,-80.011488,pittsburgh,31893,59
0JGRlUx-XCp0pdd9jOIu7w,305,40.433422,-80.011544,pittsburgh,40712,60
Agh9TUZJkB9vjtS93QqNmw,132,40.433622,-80.010332,pittsburgh,6402,61
thn9MpiBtClRmYoqzr06gA,100,40.43537,-80.013131,pittsburgh,46164,62
hF4tno5eOQDm1YTLNiVllQ,229,40.435506,-80.012757,pittsburgh,28100,63
8HtzNVcw-CmJM2cfoGLr2w,189,40.435211,-80.013015,pittsburgh,46870,64
zkxXvaICt_TeZHLgIJrh7Q,12,40.433705,-80.012259,pittsburgh,14497,65
MWudzAJTWfswVpYbej69wA,229,40.433308,-80.011507,pittsburgh,18329,66
b2aditMncnfn0r78lqBniw,289,40.43334,-80.011445,pittsburgh,42437,67
oTY_5QLSDl3vwwPp1bsJqw,285,40.43345,-80.011684,pittsburgh,5339,68
fKBFwn-PbAqqYXHOHOPexA,132,40.43359,-80.010284,pittsburgh,19210,69
PZkTCk7CtekGuMfZ0YXGRw,102,40.435392,-80.013313,pittsburgh,4133,70
wy3ee_icZjx8ACry8CptUg,257,40.435416,-80.013071,pittsburgh,22939,71
Q742e0VfjpG7xWpryk6Z3w,252,40.435551,-80.012675,pittsburgh,21372,72
FY-ieqioPrD2Yhvxb3yv7w,190,40.435099,-80.013043,pittsburgh,38541,73
KExuaVxz9-8bpK4SQ4duHg,17,40.433609,-80.012287,pittsburgh,29884,74
qQ4rBpod6KEjAjTltr9mBg,200,40.433209,-80.011572,pittsburgh,11255,75
St216d7PVwxcWoct422Ajg,288,40.433316,-80.011329,pittsburgh,10134,76
-P5Gx1D_o94DK1YeuNUsEA,285,40.433475,-80.011802,pittsburgh,34793,77
5KoCiJtzRr0Sw7F81EATVQ,132,40.433528,-80.010188,pittsburgh,38086,78
UajR5ORVu87J2tsVYPCxMg,105,40.435412,-80.013436,pittsburgh,1461,79
skYWobIBeRcHtlOqpo4m9w,234,40.435451,-80.012977,pittsburgh,54820,80
by7Xt2QGmOEEf0c5Lg3f1g,262,40.435563,-80.012631,pittsburgh,16289,81
E4Dus6aJUQydZ-5T0KYO6A,189,40.435004,-80.013061,pittsburgh,3603,82
DYi3SipBG3xivg4vQ7Xo6A,286,40.433562,-80.012301,pittsburgh,23790,83
EY28Z1Cw5jhURUSsFoEOxQ,195,40.43312,-80.011604,pittsburgh,17972,84
VsDHfk2MjRWUU6GjKOhsbg,288,40.433292,-80.011234,pittsburgh,4424,85
6s07BnQTNgR71OAU-XTGgQ,282,40.433495,-80.011921,pittsburgh,35150,86
m-2Oph_nAPJcikMggsHXvw,132,40.433466,-80.010093,pittsburgh,19522,87
rek9KhK5uCfqSIqEzKFipA,106,40.435423,-80.013498,pittsburgh,5477,88
8EvOUJpvLBPOdcwyHI6j4w,239,40.435502,-80.012885,pittsburgh,32258,89
4O1fIHiT-LiYlywZs6yvLw,288,40.43556,-80.012479,pittsburgh,17538,90
f1whOQ0SH0QSpcWuJHoWAQ,262,40.43557,-80.012678,pittsburgh,39697,91
7ZBSJpsEl7rvql9CsftQRw,189,40.434956,-80.013069,pittsburgh,20566,92
CI7YlIfZB4lacaVN2rt1Iw,286,40.433576,-80.012369,pittsburgh,17877,93
xt47tCwZeDhX9Dayv5ilYA,25,40.433535,-80.012324,pittsburgh,40535,94
kuoRkpZ9Qng34LC-FYuG2g,284,40.433543,-80.012199,pittsburgh,45771,95
vi7CSLCbXnnEfHT0NVburA,195,40.433032,-80.011633,pittsburgh,19973,96
HNLaUJOVl9flXNJAt_QboA,284,40.433271,-80.011132,pittsburgh,52976,97
4F10H9Fen-IM3TMnt0Bf3Q,283,40.43352,-80.012067,pittsburgh,17531,98
haf98bxATSAqIYZvckkEIA,132,40.433406,-80.010002,pittsburgh,45619,99
MVqcC30bFhDCg8B9A8Y1aA,109,40.435449,-80.013618,pittsburgh,6930,100
6wBh2LEqdVoAEPehLo4GPw,248,40.435545,-80.01278,pittsburgh,14860,101
LEKjrV7glgb9gNNqw9HzzA,300,40.435513,-80.012328,pittsburgh,18279,102
GgGlftYpOf6424dy7ZEP9w,189,40.434863,-80.013086,pittsburgh,32675,103
Tc5fZcE3iMryoJuDCI9ZAA,284,40.433605,-80.012522,pittsburgh,24526,104
h2In30BYEzkwP89rQtVN_Q,11,40.433461,-80.01236,pittsburgh,7900,105
ndOK2ROjcXUlFde73YYNgw,195,40.432987,-80.011648,pittsburgh,11125,106
Ks5cQp0h5p0NuXNkKLoTEg,113,40.432998,-80.011551,pittsburgh,41614,107
VqVIT4XB-sfW1MZbLxmrgg,285,40.433253,-80.011029,pittsburgh,53689,108
MZSZwCicMausEfHVXGTCfA,131,40.433347,-80.009911,pittsburgh,47507,109
MO3OxEDqmAjhcCisyC0llQ,112,40.43548,-80.013735,pittsburgh,35842,110
6z7dxCDAGIjsThIcBvUDFQ,303,40.435472,-80.012233,pittsburgh,20534,111
pY_qoN3GGtNld7Y7BYwP7Q,190,40.434772,-80.013103,pittsburgh,19690,112
NuFehRcy05by2GxZKqrIkg,284,40.433628,-80.012654,pittsburgh,41767,113
E8Bh3mBZTzfC-Fd9Hbsu6Q,10,40.433382,-80.012379,pittsburgh,6551,114
Qrnk2-YVpPA24NGVd7JmoA,195,40.4329,-80.011676,pittsburgh,47715,115
nTTZG46lY9axqjNpfHL70A,103,40.432969,-80.011404,pittsburgh,28379,116
CCD-SpGdCi9olA8BI-lX_g,285,40.433231,-80.010913,pittsburgh,29521,117
y2iWjN7n6XU3qDBIaL8wNg,167,40.433309,-80.009928,pittsburgh,22990,118
hW2RBkfXzofdO7UFAwmgeA,131,40.433317,-80.009865,pittsburgh,36912,119
055t2Shd7pcob4N1TXRSnA,113,40.435496,-80.013793,pittsburgh,47,120
_wTSCOn84T2MHBX84z-rQg,307,40.435426,-80.012137,pittsburgh,30676,121
A7BL6o5gX_w_svpuCIsOdg,190,40.434681,-80.013122,pittsburgh,35291,122
-RHC7hFdiHu1BbOR2XHrZg,285,40.433647,-80.012758,pittsburgh,46470,123
6-kLKSl0Msl435_h8qZ7KQ,12,40.433297,-80.012399,pittsburgh,3256,124
dPiNITtWSdvurbkdYIT-kQ,195,40.432812,-80.011704,pittsburgh,45447,125
2-dIaWAGcOPSG8A7AVRQ4A,103,40.432946,-80.011278,pittsburgh,29063,126
gQIhmkAgN9Mc0JDF8v_77A,284,40.433208,-80.010794,pittsburgh,10766,127
l0uuSbEHBdvS0IALAwWMtg,194,40.433203,-80.009949,pittsburgh,51541,128
Qvi8CVy-p3ZEFq_8EpbRIQ,130,40.433258,-80.00977,pittsburgh,36062,129
0lSHrMbYQvgnWr2jfv7UYg,116,40.435534,-80.013912,pittsburgh,52239,130
WXYgeQh8z6vavtpu8fswoQ,159,40.435476,-80.013827,pittsburgh,53722,131
_8Gv8i2pmWLzqx6G3K21yA,310,40.435372,-80.012038,pittsburgh,24831,132
rrKtgIzDJnhv3rXXCecSqA,190,40.434589,-80.013141,pittsburgh,2570,133
tOfbdVHkqA22Cwe98AnVeQ,285,40.433665,-80.012855,pittsburgh,17022,134
hF0NV6FL8CJC9uQ3jZZMbQ,16,40.433212,-80.012425,pittsburgh,51354,135
yTlbM2jo-HGQA8vTZgQnEQ,195,40.432726,-80.011734,pittsburgh,40570,136
lqGuAhivIT1dBZq72WwzhA,103,40.43292,-80.011145,pittsburgh,2303,137
kQqwhZyS-Ay0Du2HcguA7w,284,40.433188,-80.010675,pittsburgh,5147,138
RsetHDgGGde1fgAVq5nYBw,208,40.433089,-80.009997,pittsburgh,21463,139
rRo2q1DqUcPgkfrcu29wkg,129,40.433198,-80.009672,pittsburgh,8362,140
sZWCT2njc-_6AAHYNn1ubw,117,40.435578,-80.014037,pittsburgh,14156,141
06FUNIokk79dPLwjUyWxJA,189,40.435381,-80.013846,pittsburgh,26086,142
KLcJj6EA8ZrhUOcmWtt9oQ,313,40.43531,-80.011938,pittsburgh,53140,143
EG5JMl6W2GWhIUr-TADVjQ,190,40.434498,-80.013161,pittsburgh,55829,144
9T_vDlv1Jik0xCH0U5_xrg,283,40.433683,-80.012976,pittsburgh,49823,145
Vr3ezFlZNB3r9gYeFO1_mg,23,40.433119,-80.012466,pittsburgh,30440,146
jEIv9R3F5R9FkX1qWVanqw,193,40.432628,-80.011765,pittsburgh,39893,147
21XSmqqwlbSQdFT8C9C3hA,103,40.432894,-80.011018,pittsburgh,55279,148
6wmGaWlqQ1bcGkiet4wFmA,285,40.433166,-80.010558,pittsburgh,38157,149
MVzbCgmrAvM98M8yQxFHvg,5,40.432989,-80.010017,pittsburgh,21214,150
vuX6Nbr8-XKQem1kmcTStQ,244,40.433064,-80.010043,pittsburgh,37564,151
RZ81tbSVaPjmY6gqBq-Mgg,128,40.43314,-80.009573,pittsburgh,30245,152
TqlFslcmbtCJijMxDKu3Wg,120,40.435626,-80.014162,pittsburgh,56541,153
pv0l_cdUyMs7o5sszCt2Tg,187,40.435282,-80.013862,pittsburgh,34337,154
J9Wq0JDuwEg1FpCMB_fGXQ,317,40.435244,-80.011842,pittsburgh,6769,155
ybrBUk6p-6MiwN0S-cuXpw,190,40.434412,-80.013179,pittsburgh,49287,156
oAUbIr8eUZ6JaDfDKriA2Q,284,40.433706,-80.013107,pittsburgh,43059,157
-W6bESiy5dQ-xqy7wnxYjA,12,40.43303,-80.012508,pittsburgh,49374,158
KJbXtUzIysrb9qaol29PVQ,155,40.43257,-80.011747,pittsburgh,50288,159
VPK7pUGIMRw7f1XzczqTpg,101,40.432874,-80.010901,pittsburgh,21635,160
HFKwlh2yv3CNDJuZxuG7PQ,287,40.433138,-80.010426,pittsburgh,44415,161
K-B54KfyDoeigFbj-ZquVA,17,40.432923,-80.010038,pittsburgh,56083,162
En5553rHY6zn3fh0_x_WWA,286,40.433079,-80.010169,pittsburgh,714,163
z0F8J7XYDumDfnsTDeG5yw,128,40.433112,-80.009523,pittsburgh,31807,164
fqdCjpaUIaARmk44gLgydg,121,40.435652,-80.014223,pittsburgh,2010,165
F--tCO3FO_sW2QAFGKsr2Q,190,40.435186,-80.013881,pittsburgh,15213,166
Su_xxJnzerKQlO7H93RBrg,321,40.435176,-80.011756,pittsburgh,53542,167
dDO8MSYu2pcI8iy87MrwJQ,190,40.434288,-80.013203,pittsburgh,57021,168
X6x8jXuHQVPnP5JYTMlxhQ,283,40.433726,-80.01322,pittsburgh,13178,169
_nbmFHM_zcXU3Uoi0t1ejw,8,40.432954,-80.012528,pittsburgh,39487,170
zNKfxcUyfcT9LpsiybJurg,13,40.432552,-80.011758,pittsburgh,2902,171
sWufKBNDE36u_oRR5H5cxg,88,40.432555,-80.011835,pittsburgh,11347,172
AGnNsmVzc7vy-53TnS2VsQ,103,40.432521,-80.011602,pittsburgh,12153,173
ke0kiNX-Vu9p1TsRyQCpWw,103,40.432852,-80.01079,pittsburgh,19447,174
QmGdUQfaIYnPfFlkisrjJg,287,40.433105,-80.010278,pittsburgh,36052,175
J0yruG-aMhzlLJX9PvKWLQ,15,40.432842,-80.010071,pittsburgh,53079,176
YrC4se9Io9fQrBXyNTTHkw,128,40.433084,-80.009473,pittsburgh,13265,177
8fxQABYt2mwK-1G8f0QQRw,123,40.435679,-80.014284,pittsburgh,44029,178
