pano_id,yaw,lat,lon,city,global_index,local_index
6rIMyvAZUW4sT3ffqYOg0w,209,40.705532,-74.013574,manhattan,39438,1
RUwf0764RCyKTjhdS_n0UQ,210,40.705614,-74.013514,manhattan,1245,2
SPuFd-RJN2dMjTJO9iq5AA,211,40.705452,-74.013636,manhattan,40377,3
tXgCAaFTdZy0fviGV13FHw,214,40.705696,-74.013444,manhattan,35899,4
nPn-6P4ec_EEyRspeLmiCg,213,40.705367,-74.013707,manhattan,46874,5
lj23n4e0KAkaHdl5InXV6A,213,40.705772,-74.013379,manhattan,44045,6
7bIUHHFlN0bq69vDAdxhNg,213,40.705288,-74.013775,manhattan,30950,7
Ix1UZEOGUY8JODe_3muikw,213,40.70585,-74.013314,manhattan,31438,8
OASjmep3lthu2ZMxdy1Yyw,212,40.705207,-74.013842,manhattan,51254,9
1wAa3lXFOgrhjyPy4yQ3fg,213,40.705889,-74.013279,manhattan,16910,10
Gm9lnWaJ_87TpE8AMtKGzw,269,40.705884,-74.013366,manhattan,37004,11
X3vmx5W_KfEY4DL8zmeR1g,210,40.705123,-74.013908,manhattan,43369,12
edsMfgaIoHJeLxDXmxcIWg,213,40.705967,-74.013212,manhattan,13008,13
YrOgh6IMfl8VU5ssqwwAJQ,300,40.705927,-74.013482,manhattan,43445,14
gaayQwcw06R2oo9DEh8QCA,205,40.705035,-74.013968,manhattan,21517,15
aw5Je9pZfXrKmigS52bttw,213,40.706044,-74.013146,manhattan,51878,16
qBw9pc9LdHIC1pbpVqfcgw,295,40.705972,-74.013595,manhattan,5169,17
vJEZHLgYlsOvL6j2-ODIVQ,203,40.704921,-74.014032,manhattan,30366,18
A8wna1oSi02BKUrAG9ElJQ,213,40.706082,-74.013113,manhattan,39579,19
qQHAha26rafzcxIeDTllBA,295,40.706012,-74.013714,manhattan,32971,20
vTn_BTRyyHC2Oqs5QraWMQ,205,40.704886,-74.014054,manhattan,10981,21
_Yjzn5DFZAiklBn0cvkalA,208,40.706057,-74.013121,manhattan,21224,22
tWTppCD-KBZdEYvcA56qHw,213,40.70619,-74.013019,manhattan,47142,23
1aANmmnD_oS7IdFP7t45Ng,295,40.70605,-74.013826,manhattan,120,24
qoNiciXUaEK7vW-2v4YUrg,205,40.704821,-74.014094,manhattan,47020,25
_xQZouUhbkR4-yLc0Kce1g,201,40.705973,-74.013173,manhattan,29445,26
ZIThbO8vCp0RUGL7B3n63w,212,40.706233,-74.012984,manhattan,29367,27
T77gY2Cd-oheZxl7JP66ew,294,40.706087,-74.01394,manhattan,4064,28
oAbI3pdRek7VYsxEWS01vw,205,40.704767,-74.014128,manhattan,19114,29
3XLbusXouWwfFO_bLnYcCA,199,40.705879,-74.013214,manhattan,14177,30
MMtyGV8lZQnN3lPgErH-pQ,212,40.706316,-74.012915,manhattan,20619,31
pMy9edPv6T4Uzv6ncwOK0w,297,40.706107,-74.013998,manhattan,46961,32
Rv_-gQp8X2BNNivikQCx6g,234,40.704683,-74.014212,manhattan,18063,33
q3yoIwZct1t6_8Vrpcr_5A,202,40.705788,-74.013258,manhattan,44230,34
1f2UpG2qeODrCQr6hB86yA,211,40.706398,-74.012849,manhattan,5699,35
XImZNgcRB4s32sTeUtJR8Q,297,40.70613,-74.014057,manhattan,46107,36
a4wIszxUpEpwemhOVfAjag,346,40.704491,-74.014273,manhattan,32229,37
5KVX73n_xgtvjH8f1j7_YQ,202,40.705745,-74.013281,manhattan,19881,38
TPh_AP2Q4Y_9o8kVcYg9iA,211,40.706481,-74.012784,manhattan,40419,39
jy-BJQ5DNccewQOOLIh43Q,294,40.706168,-74.014168,manhattan,32667,40
f1bv-FIHneD9s1QToI_cRg,3,40.704425,-74.014257,manhattan,52051,41
X240AkLL-Vb3HQxKUKGOQQ,336,40.704552,-74.014303,manhattan,54462,42
5v_74U2KfrMq15B9UJC-IA,199,40.705659,-74.013323,manhattan,39394,43
5pAqVb35G4KJNTgtjX4rHw,212,40.706565,-74.012718,manhattan,5876,44
0oN3H8-CiK1xNXT_E8oFDQ,322,40.706217,-74.01425,manhattan,47512,45
q3dP4TVcv4QMyfMZgkdJ1A,145,40.704495,-74.014342,manhattan,5162,46
8DkxQyhGWoT0_OnDJ6c48Q,6,40.704334,-74.014267,manhattan,42272,47
fO5XkSMhsv7PwBaoOY-MWw,298,40.704658,-74.014437,manhattan,43758,48
1zYbvLC1nwUQ8ncj6xBJOg,192,40.705571,-74.013356,manhattan,11346,49
3Oqcp33c0zUouLOsC1Yjqg,213,40.706652,-74.012646,manhattan,39264,50
aIuJVOe3gK-FPII_yobgig,42,40.706239,-74.014329,manhattan,43562,51
22_e9WDif-59scecX28SIQ,113,40.704564,-74.014446,manhattan,50320,52
mpZ3uBV9-sXei-AYMVmfCA,7,40.704226,-74.014285,manhattan,41288,53
nw_DYU41YAnKaA1W3B9XCg,290,40.704699,-74.014575,manhattan,2240,54
-j3Fd7ykUt9PiK24IXnSsQ,184,40.705481,-74.013372,manhattan,5616,55
4Os5y5YjRriX3yfOfYAxyg,213,40.706739,-74.012572,manhattan,5815,56
qF8LEFGzAKFAklUBX3pC8A,17,40.70611,-74.014434,manhattan,19220,57
iqXW__UG_FchxAdlJiHB3Q,5,40.706266,-74.014258,manhattan,27121,58
Dd0fS1oGdm7xfbyRXWms8w,110,40.704603,-74.014574,manhattan,20280,59
6Emt-3ExJDsSo_L92b6N0A,7,40.704185,-74.014293,manhattan,3079,60
zYB1k2ng7dx_Oh9PfJ99TQ,288,40.704739,-74.01472,manhattan,47407,61
vjaBDxsjfEvskhh3Bu31aw,181,40.705388,-74.013377,manhattan,22185,62
JOz--f0_0BTzvFRXIVElvQ,212,40.706782,-74.012536,manhattan,6501,63
WTLWVQVBleq-PSJilA7kTQ,16,40.706066,-74.014451,manhattan,4234,64
B-fuQhdWvkh2ZF_5JsQvEg,57,40.706336,-74.014164,manhattan,31095,65
KOWZHmKOo76uMl-V7V-gew,109,40.704637,-74.01469,manhattan,17756,66
fBWBoGFHY-j8uTie9WrODA,8,40.704103,-74.014308,manhattan,32453,67
0hSDLIeeJgB2iSchmnCT4w,286,40.704772,-74.014858,manhattan,36267,68
RxyHY-u5fZJLz29eiFQ2sg,174,40.705297,-74.013371,manhattan,12489,69
hTYYLu2yRthWyB4d5KZX6g,112,40.706436,-74.01222,manhattan,1951,70
0s6eNy22bxDSAIkk1pMR6A,210,40.706773,-74.012522,manhattan,27923,71
Nf9Ef5PLlNktxXHYo_i5zg,17,40.705972,-74.014487,manhattan,3820,72
uAAWbT9TgtalCXfrTb21UA,49,40.706396,-74.014058,manhattan,55524,73
sCSZIh5lnOaKCo7U3-AxEA,105,40.70467,-74.014819,manhattan,13620,74
p5LjHODHQXn_jRRWU4wSEQ,8,40.704013,-74.014325,manhattan,46946,75
S3uxuofxVcGE5QnkY6nBwg,286,40.7048,-74.014991,manhattan,4008,76
tunGVS5_LtL659x6JCVoyA,174,40.705216,-74.013361,manhattan,10897,77
DSoBeTq7WTLmP6l19YUdFg,274,40.706414,-74.012115,manhattan,3399,78
qPWGEgNoLtr9QoTPCFMa3g,212,40.706825,-74.012499,manhattan,47000,79
UW_CmBONjiA2FT35s-eqRw,18,40.705924,-74.014506,manhattan,37625,80
uxl8X3KCnUVkvW7Qp1KLAg,46,40.70643,-74.014011,manhattan,35960,81
mMtCKEFp1i0e5IWR9cmcEg,103,40.704702,-74.01499,manhattan,52365,82
6MivqPUppBSxMFwSAk0U9Q,8,40.70392,-74.014344,manhattan,39411,83
gzCDSjBof0ssFFyPwzSdQg,286,40.704814,-74.015059,manhattan,21531,84
Ssnu6GEQUyrcBHLdSwppwA,173,40.705131,-74.013351,manhattan,43176,85
ADIuOaGwJXd5NqsZpYY_-g,288,40.706387,-74.011978,manhattan,14485,86
sFOr2VOgjqbheHEbUA-D7g,212,40.706905,-74.012434,manhattan,16396,87
1ISJB-gv-JoivYOM_lF4cA,18,40.705834,-74.014545,manhattan,11320,88
lmL137DAnJepCV1bDIWNyg,45,40.7065,-74.013919,manhattan,27238,89
_LrTKdf2YejHsahSkVY1sw,102,40.704717,-74.015066,manhattan,23940,90
IHti8VAU3bqcOlTtv9zRQA,36,40.704827,-74.014977,manhattan,25913,91
mUH-xRflTJHIjeqd2ypNcg,7,40.703824,-74.014363,manhattan,13378,92
WlHNCPnEaQa8ehdmQMN4qA,285,40.704841,-74.01519,manhattan,48882,93
SKCom5QZm_RkGEqr8hFwqw,175,40.705045,-74.013339,manhattan,18076,94
dbHzdC57XSUlRGwPg8zZBQ,293,40.706363,-74.011872,manhattan,38061,95
_W95JOGQ-bLtaUCNoxatiw,210,40.70689,-74.01243,manhattan,1613,96
Bel23-789_jxPXJHat7yDg,17,40.705744,-74.014585,manhattan,53470,97
FhKq0Ux-61tDNwz9gLmf_g,39,40.706583,-74.01382,manhattan,42610,98
Nwqia2A7LONw_KJre5z3rA,101,40.70474,-74.015203,manhattan,12319,99
AR0F3vw_ybqmfLFaMT8K7w,25,40.704876,-74.014941,manhattan,3253,100
7pKZqSq4ZK20pwwbT9Kcqg,7,40.703713,-74.014382,manhattan,3155,101
cMlFGHSTzDh6sKz4W7rskA,284,40.704865,-74.015315,manhattan,54763,102
teCxlT4i5KnSDSDfuduVCA,254,40.705004,-74.013254,manhattan,8131,103
I-WsfQvoGdpDldDSuZMuvw,230,40.704982,-74.013301,manhattan,50992,104
FoeGmPY34riltoUc7SSOzw,197,40.706303,-74.011747,manhattan,14714,105
DR5h_BOJoDmeAperN41wsA,285,40.706282,-74.011651,manhattan,45214,106
Nr2ckAY4OvCZGoeougLDBg,212,40.706987,-74.012365,manhattan,26152,107
K6bgpal4QZwmIJ3PPTL0ww,17,40.705655,-74.014621,manhattan,28748,108
2yKdIDG3TvjpRpD8sFMV8A,35,40.706661,-74.013751,manhattan,36378,109
7cK7aeUPUf_5Ja9pQWQ1RA,102,40.70476,-74.015317,manhattan,14358,110
ppurzkJBudFwOyQuZBeVJw,6,40.704909,-74.014921,manhattan,44215,111
oQkXYCu0da7PoLHkKGIeQw,8,40.703643,-74.014396,manhattan,19123,112
0KzqlDQ6WnHt2cPox5VEKw,281,40.704885,-74.015437,manhattan,33465,113
_Ir-Mc6p7mC7hH6jTyWkzw,274,40.705013,-74.013124,manhattan,49046,114
PLAsg8gz6Prce4T-pcphZg,183,40.704856,-74.013334,manhattan,12376,115
K-RyZCkXIIU-Pu99vieA3Q,192,40.706228,-74.01177,manhattan,39977,116
G5KyCS_6E51skZiC5vM-Aw,282,40.706258,-74.01155,manhattan,14724,117
Oe3W5Z6VuKzRM8EsDjZnQw,211,40.707045,-74.012305,manhattan,6715,118
-8N4BxLW_3ZEEDrZ53m6Yw,17,40.705565,-74.01466,manhattan,36204,119
Ui3Rp-a76O7FSZJKePZTfQ,31,40.706736,-74.01369,manhattan,51552,120
rDldrDt1E7Hic_j-4HGfwQ,101,40.704767,-74.015362,manhattan,38649,121
HAeT1RtzF0Ph6Nv3uVeZHA,18,40.705015,-74.014875,manhattan,34209,122
93G4sHZIgRnGwZw2tKLNzw,9,40.703582,-74.014409,manhattan,20054,123
kAhW1PLOZ8btpNcHmHixDA,278,40.704899,-74.015557,manhattan,7674,124
4nhBiegMkZy-rdXqWyCUbA,273,40.705007,-74.01301,manhattan,255,125
jQmwkZbA9TCXE--XnZYqiw,169,40.704755,-74.013321,manhattan,4882,126
tqLHWAycDw86nZsiDsbHDg,184,40.706141,-74.011794,manhattan,30311,127
fm3dERZQ3C__eJmMvPxFcA,284,40.706228,-74.011441,manhattan,24222,128
pCQkQReINSK4SpjERTmsag,212,40.707077,-74.012291,manhattan,2291,129
BEv7bZnkvF5DPlw5ORb-Og,16,40.705471,-74.014698,manhattan,20177,130
EF-sCteJxTWng4aQIXpBHQ,29,40.706773,-74.013663,manhattan,684,131
hY3wPPu54-F_VGg_nGkKkQ,98,40.704791,-74.015523,manhattan,43859,132
BR959etQo1clE5NNeeXw5Q,16,40.705105,-74.014839,manhattan,3297,133
QCaGlWBE7LmXOA2OcXYpWQ,127,40.703615,-74.014398,manhattan,37421,134
sW0iMPbS6Ztdx87iGmmlaQ,8,40.703497,-74.014427,manhattan,47097,135
o6Q0PakonoPQo9Wg2cBSMA,274,40.704908,-74.015679,manhattan,21852,136
qOIMVvqPPTXe38FBJUSxsA,273,40.705001,-74.012879,manhattan,41445,137
8CjmzsHdgdQ7Q7p0-rEOYQ,172,40.704656,-74.0133,manhattan,14389,138
ogxqnhRqkXXeHqHKRnhzFA,188,40.706059,-74.011815,manhattan,2274,139
EcaNEaxMvGU2rrvWP6ypfA,289,40.706193,-74.011317,manhattan,36916,140
uIK2Dj911w7cEVSGe5PEHA,211,40.707127,-74.012237,manhattan,49938,141
ZxxNdGsAm-yyeZ92zZ5YBA,16,40.705378,-74.014733,manhattan,46241,142
PvFxEVXrdttpY_1cOELhLA,29,40.706813,-74.013635,manhattan,17968,143
RjuRf1DNzqMBREW1RQdQmw,94,40.704802,-74.015638,manhattan,48664,144
fDHbFfqveH-EHLa2rO6nqw,16,40.705194,-74.014805,manhattan,38124,145
PQeaNarage-8nD7mYWEaKA,83,40.703613,-74.01428,manhattan,1154,146
G1_UU9q6qhDaP226e-B85g,3,40.703409,-74.014442,manhattan,28593,147
x9uZOaw8pWtXEAjGWnCCmw,175,40.70489,-74.015677,manhattan,13847,148
tpBtQTCJCgTPsHPxiJUIcw,273,40.704911,-74.015739,manhattan,38779,149
yvxNQLm-b8HDxjVMsTGy6g,210,40.70503,-74.015666,manhattan,39019,150
7pyEw-6MIjt7ohSU7RgtNA,274,40.704994,-74.012753,manhattan,19993,151
TDMscW_ZB3QuNs9EEqiUWg,172,40.704555,-74.013287,manhattan,15248,152
VoKUHGoIHNj8XAT5bgZWPQ,186,40.705972,-74.011833,manhattan,4201,153
9ZCfautuKgD8MYSBLiGlQA,282,40.706164,-74.011187,manhattan,3215,154
K2kE-R6lFp38dkDjoNInDQ,212,40.707164,-74.012221,manhattan,28745,155
lJxa9XBoOF7nM4aK6a3qxg,16,40.705286,-74.014769,manhattan,44031,156
2i-5sXxbr8O7ZRFlgxYXTQ,28,40.706854,-74.013605,manhattan,42020,157
X678gXhd6aGgBkIa2MzLhg,92,40.704805,-74.0157,manhattan,12683,158
ehJTfsqUaE7Hqr7E3Yp8ig,144,40.704848,-74.015652,manhattan,40967,159
RGA8ejB8qyremCzeXJd2_g,87,40.703619,-74.014128,manhattan,6834,160
xpqcpzsv-Wgh6OlNXGsl8Q,357,40.703294,-74.014447,manhattan,2656,161
QdCG238y9HCpeqSqqTgPlA,273,40.704915,-74.015858,manhattan,26273,162
YHBrwb_hmh9wNnzid1YleA,199,40.705126,-74.015613,manhattan,37790,163
m4pVwX0FU6dlZfbko-yK2A,274,40.70499,-74.012691,manhattan,21768,164
M00xEU_q9j0AJLpudO4hTw,175,40.704505,-74.013282,manhattan,23351,165
eNcnqaaD9h-tey0562AZPw,192,40.705882,-74.011853,manhattan,24164,166
odMM-c27HxI9juZSTcmmqg,77,40.70615,-74.011091,manhattan,55272,167
VChHaS5ubh7hAA7_ahukQg,212,40.707242,-74.012157,manhattan,23718,168
