city,highway,highway_flag,global_index,lat,lon,pano_id,yaw
manhattan,['secondary'],0,39438,40.705532,-74.013574,6rIMyvAZUW4sT3ffqYOg0w,209
manhattan,['secondary'],0,1245,40.705614,-74.013514,RUwf0764RCyKTjhdS_n0UQ,210
manhattan,['secondary'],0,40377,40.705452,-74.013636,SPuFd-RJN2dMjTJO9iq5AA,211
manhattan,['secondary'],0,35899,40.705696,-74.013444,tXgCAaFTdZy0fviGV13FHw,214
manhattan,['secondary'],0,46874,40.705367,-74.013707,nPn-6P4ec_EEyRspeLmiCg,213
manhattan,"['footway', 'secondary', 'living_street']",0,44045,40.705772,-74.013379,lj23n4e0KAkaHdl5InXV6A,213
manhattan,"['secondary', 'footway']",0,30950,40.705288,-74.013775,7bIUHHFlN0bq69vDAdxhNg,213
manhattan,"['secondary', 'residential', 'secondary']",0,31438,40.70585,-74.013314,Ix1UZEOGUY8JODe_3muikw,213
manhattan,"['secondary', 'footway']",0,51254,40.705207,-74.013842,OASjmep3lthu2ZMxdy1Yyw,212
manhattan,"['secondary', 'residential', 'footway', 'secondary']",0,16910,40.705889,-74.013279,1wAa3lXFOgrhjyPy4yQ3fg,213
manhattan,"['footway', 'footway', 'footway', 'residential']",0,37004,40.705884,-74.013366,Gm9lnWaJ_87TpE8AMtKGzw,269
manhattan,['secondary'],0,43369,40.705123,-74.013908,X3vmx5W_KfEY4DL8zmeR1g,210
manhattan,['secondary'],0,13008,40.705967,-74.013212,edsMfgaIoHJeLxDXmxcIWg,213
manhattan,"['footway', 'residential']",0,43445,40.705927,-74.013482,YrOgh6IMfl8VU5ssqwwAJQ,300
manhattan,"['secondary', 'footway']",0,21517,40.705035,-74.013968,gaayQwcw06R2oo9DEh8QCA,205
manhattan,"['construction', 'secondary']",0,51878,40.706044,-74.013146,aw5Je9pZfXrKmigS52bttw,213
manhattan,"['footway', 'residential']",0,5169,40.705972,-74.013595,qBw9pc9LdHIC1pbpVqfcgw,295
manhattan,"['secondary', 'footway']",0,30366,40.704921,-74.014032,vJEZHLgYlsOvL6j2-ODIVQ,203
manhattan,"['construction', 'secondary', 'secondary']",0,39579,40.706082,-74.013113,A8wna1oSi02BKUrAG9ElJQ,213
manhattan,"['footway', 'residential']",0,32971,40.706012,-74.013714,qQHAha26rafzcxIeDTllBA,295
manhattan,"['secondary', 'footway']",0,10981,40.704886,-74.014054,vTn_BTRyyHC2Oqs5QraWMQ,205
manhattan,"['construction', 'secondary', 'secondary']",0,21224,40.706057,-74.013121,_Yjzn5DFZAiklBn0cvkalA,208
manhattan,['secondary'],0,47142,40.70619,-74.013019,tWTppCD-KBZdEYvcA56qHw,213
manhattan,"['footway', 'residential']",0,120,40.70605,-74.013826,1aANmmnD_oS7IdFP7t45Ng,295
manhattan,"['secondary', 'footway']",0,47020,40.704821,-74.014094,qoNiciXUaEK7vW-2v4YUrg,205
manhattan,"['construction', 'secondary']",0,29445,40.705973,-74.013173,_xQZouUhbkR4-yLc0Kce1g,201
manhattan,['secondary'],0,29367,40.706233,-74.012984,ZIThbO8vCp0RUGL7B3n63w,212
manhattan,"['footway', 'residential']",0,4064,40.706087,-74.01394,T77gY2Cd-oheZxl7JP66ew,294
manhattan,"['secondary', 'footway']",0,19114,40.704767,-74.014128,oAbI3pdRek7VYsxEWS01vw,205
